"Discount Codes","Discount Codes"
"Enter your code","Enter your code"
"Apply Coupon","Apply Coupon"
"APPLIED COUPONS","APPLIED COUPONS"
Cancel,Cancel
"Shipping Next","Shipping Next"
"Next Run","Next Run"
"Select Date","Select Date"
Menu,Menu
Search,Search
"My Account","My Account"
Compare,Compare
"Related Products","Related Products"
"We found other products you might like!","We found other products you might like!"
"More Choices:","More Choices:"
"New Products","New Products"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","select all"
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"<span class=""icon ic ic-compare""></span>","<span class=""icon ic ic-compare""></span>"
"Compare Products","Compare Products"
"Remove This Item","Remove This Item"
"Clear All","Clear All"
"You have no items to compare.","You have no items to compare."
"We can't find products matching the selection.","We can't find products matching the selection."
"Learn More","Learn More"
Email,Email
"Shopping Cart Items","Shopping Cart Items"
Item,Item
Price,Price
Qty,Qty
Subtotal,Subtotal
"Continue Shopping","Continue Shopping"
"Clear Shopping Cart","Clear Shopping Cart"
"Update Shopping Cart","Update Shopping Cart"
Cart,Cart
"Apply Discount Code","Apply Discount Code"
"Enter discount code","Enter Discount code"
"Apply Discount","Apply Discount"
"Cancel Coupon","Cancel Coupon"
"Account Information","Account Information"
"Contact Information","Contact Information"
Edit,Edit
"Change Password","Change Password"
Newsletters,Newsletters
"You are subscribed to ""General Subscription"".","You are subscribed to ""General Subscription""."
"You aren't subscribed to our newsletter.","You aren't subscribed to our newsletter."
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
or,or
Back,Back
"* Required Fields","* Required Fields"
Address,Address
"Street Address","Street Address"
"Street Address %1","Street Address %1"
"VAT Number","VAT Number"
City,City
State/Province,State/Province
"Please select a region, state or province.","Please select a region, state or province."
"Zip/Postal Code","Zip/Postal Code"
Country,Country
"It's a default billing address.","It's a default billing address."
"Use as my default billing address","Use as my default billing address"
"It's a default shipping address.","It's a default shipping address."
"Use as my default shipping address","Use as my default shipping address"
"Save Address","Save Address"
"Go back","Go back"
"Default Addresses","Default Addresses"
"Default Billing Address","Default Billing Address"
"Change Billing Address","Change Billing Address"
"You have no default billing address in your address book.","You have no default billing address in your address book."
"Default Shipping Address","Default Shipping Address"
"Change Shipping Address","Change Shipping Address"
"You have no default shipping address in your address book.","You have no default shipping address in your address book."
"Additional Address Entries","Additional Address Entries"
"Edit Address","Edit Address"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","You have no other address entries in your address book."
"Add New Address","Add New Address"
"Please enter your email address below to receive a password reset link.","Please enter your email address below to receive a password reset link."
"Reset My Password","Reset My Password"
"Registered Customers","Registered Customers"
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address."
Password,Password
"Sign In","Sign In"
"Forgot Your Password?","Forgot Your Password?"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Sign Up to Receive Announcements and Special Offers","Sign Up to Receive Announcements and Special Offers"
"Address Information","Address Information"
"Sign-in Information","Sign-in Information"
"Password Strength","Password Strength"
"No Password","No Password"
"Confirm Password","Confirm Password"
"Create an Account","Create an Account"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
Company,Company
Fax,Fax
Gender,Gender
Name,Name
"Tax/VAT number","Tax/VAT number"
"Phone Number","Phone Number"
"Filtered By","Filtered By"
"Shopping Options","Shopping Options"
Newsletter,Newsletter
"Sign Up for Our Newsletter:","Sign up for news & special offers!"
"Enter your email address","Enter your email address"
Subscribe,Subscribe
"Write Your Own Review","Write Your Own Review"
"You're reviewing:","You're reviewing:"
"Your Rating","Your Rating"
"%1 %2","%1 %2"
Nickname,Nickname
Summary,Summary
Review,Review
"Submit Review","Submit Review"
"Only registered users can write reviews. Please <a href=""%1"">Log in</a> or <a href=""%2"">register</a>","Only registered users can write reviews. Please <a href=""%1"">Log in</a> or <a href=""%2"">register</a>"
Items,Items
"Gift Message for this Order","Gift Message for this Order"
From:,From:
To:,To:
Message:,Message:
SKU,SKU
"Gift Message","Gift Message"
"Shipped By","Shipped By"
"Tracking Number","Tracking Number"
"Invoice #","Invoice #"
"Order Information","Order Information"
"Shipping Address","Shipping Address"
"Shipping Method","Shipping Method"
"No shipping information available","No shipping information available"
"Billing Address","Billing Address"
"Payment Method","Payment Method"
"Items Invoiced","Items Invoiced"
"Product Name","Product Name"
"Qty Invoiced","Qty Invoiced"
"Recently Ordered","Recently Ordered"
"Last Ordered Items","Last Ordered Items"
"View All","View All"
"Remove Recipent","Remove Recipent"
Remove,Remove
Sender,Sender
Message,Message
Invitee,Invitee
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Add Invitee","Add Invitee"
"Send Email","Send Email"
Tax,Tax
"Toggle Nav","Toggle Nav"
"Move to Wishlist","Move to Wishlist"
"Last Added Items","Last Added Items"
"Go to Wish List","Go to Wish List"
"You have no items in your wish list.","You have no items in your wish list."
"Refer Email Or Code","Refer Email Or Code"
"Share your referral link with your friends and earn commissions","Share your referral link with your friends and earn commissions"
"Referral URL And Code","Referral URL And Code"
"Refer URL","Refer URL"
copy,copy
"Refer Code","Refer Code"
"Refer Email","Refer Email"
"Referral via Social","Referral via Social"
"Send Invitations","Send Invitations"
"Send from","Send from"
Store,Store
"Your email address","Your email address"
"Invite your friends by entering their email addresses below","Invite your friends by entering their email addresses below"
"To reduce the chance that your message is marked as spam, please follow this format: ""Contact name"" <name@example.com>","To reduce the chance that your message is marked as spam, please follow this format: ""Contact name"" <name@example.com>"
"Example contact list:""John"" <john@example.com>, peter@icloud.com, jennifer@google.com, hello@yahoo.com, mark@gmail.com","Example contact list:""John"" <john@example.com>, peter@icloud.com, jennifer@google.com, hello@yahoo.com, mark@gmail.com"
"Message (Just your message, referral links will be added automatically.)","Message (Just your message, referral links will be added automatically.)"
"Send Now","Send Now"
"SEND NOW","SEND NOW"
copied,copied
"Your Invitee","Your Invitee"
ID,ID
Receiver,Receiver
"Receiver earn","Receiver earn"
"Receiver discount","Receiver discount"
"You earn","You earn"
Date,Date
"Email Address","Email Address"
Footer,Footer
"Thank you, %store_name","Thank you, %store_name"
Header,Header
Apply,Apply
"Choose from saved list","Choose from saved list"
"Use Gift Credit","Use Gift Credit"
"You are using ","You are using "
"Gift Wrap","Gift Wrap"
"Order Comment","Order Comment"
"Gift Messages","Gift Messages"
Update,Update
Close,Close
"Add a gift message","Add a gift message"
"Sign Up for Our Newsletter","Sign Up for Our Newsletter"
"Delivery Date","Delivery Date"
"Delivery Time Interval","Delivery Time Interval"
"Delivery Comment","Delivery Comment"
Description,Description
"Additional Info","Additional Info"
Usage,Usage
Ingredients,Ingredients
Video,Video
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Reward Dashboard","Reward Dashboard"
Transactions,Transactions
"My Referral","My Referral"
"Sent","Added to list"
"My Wish List","Wish List"
"My Account","Account Dashboard"
"Create an Account","Sign Up"
"Add to Wish List","Add to Wishlist"
"Add to Compare","Add to Compare"
"Special Price","Now Only"
"Proceed to Checkout","Go to Checkout"
"Update Shopping Cart","Update Cart"
"My Account Link","Account"
Login,Login
"You can create an account after checkout.","You can create an account after checkout."
